Position,Move,Times_Repeated,Move_Number,Side,Original_Eval_Before,Original_Eval_After,Original_Eval_Drop,Original_Move_Quality,Stockfish_Eval_Drop,Stockfish_Move_Quality,Stockfish_Best_Move,Opening,Move_Theme,Board_Image,Your_Move_Eval,Best_Move_Eval,Eval_Difference
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,h6,6,6,Black,-0.14,1.03,-1.17,Blunder,-80,Inaccuracy,Nc6,Petroff Defense,defensive,board_images/board_202.png,,,
r1bqk2r/ppp2ppp/2p5/2b5/4P3/2NPP3/PPP3PP/R2QKB1R b KQkq - 0 8,Bxe3,6,16,Black,-0.79,-0.81,0.02,Good,206,Excellent,Bxe3,Petroff Defense,capture,board_images/board_203.png,-0.81,1.25,2.06
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,c5,6,8,Black,0.25,0.32,-0.07,Inaccuracy,-73,Good,dxc4,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_204.png,,,
rnbqkb1r/ppp2ppp/8/3pP3/8/2P2Q2/P1PP2PP/R1B1KBNR b KQkq - 0 6,Be6,6,12,Black,0.23,0.45,-0.22,Blunder,-62,Inaccuracy,Be7,King's Pawn Game,bishop_development,board_images/board_205.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,h6,6,8,Black,0.11,0.27,-0.16,Mistake,-44,Good,Bc5,Petroff Defense,defensive,board_images/board_206.png,0.27,-0.17,0.44
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Be2,6,9,White,0.53,0.56,-0.03,Good,114,Good,Nf3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_207.png,,,
r1bqkb1r/pppp1ppp/2n2n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 4,Nxe4,6,8,Black,0.11,0.05,0.06,Inaccuracy,-23,Excellent,Nxe4,Petroff Defense,tactical; capture,board_images/board_208.png,0.05,-0.18,0.23
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,6,9,White,0.41,0.44,-0.03,Good,109,Good,e3,Queen's Gambit,bishop_development; bishop_development,board_images/board_209.png,0.44,1.53,1.09
r1bqk1nr/pppp1ppp/8/4n3/1b2P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 5,Bd2,6,9,White,1.51,0.58,0.93,Blunder,162,Good,Qd4,Queen's Pawn Game,bishop_development,board_images/board_210.png,0.58,2.20,1.62
rnbqk2r/ppp1bppp/4pn2/8/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq - 3 6,Nf3,6,11,White,0.36,0.49,-0.13,Mistake,72,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_211.png,,,
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,6,7,White,0.41,0.38,0.03,Good,93,Inaccuracy,a3,Dutch Defense,knight_development; knight_development,board_images/board_212.png,,,
r1bq1bkr/ppp3pp/2n5/3pp1N1/8/3P1N2/PPP2PPP/R1BQK2R b KQ - 0 8,h6,6,16,Black,-2.71,-2.7,-0.01,Excellent,517,Excellent,h6,Petroff Defense,defensive,board_images/board_213.png,-2.70,2.47,5.17
rnbq1rk1/ppp2ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 6 6,e3,6,11,White,0.39,0.35,0.04,Good,62,Good,cxd5,Queen's Gambit,general,board_images/board_214.png,0.35,0.97,0.62
r1bq1rk1/pppn1ppp/4pn2/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3,6,13,White,0.58,0.22,0.36,Blunder,62,Inaccuracy,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_215.png,0.22,0.84,0.62
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Nf3,6,9,White,0.56,0.49,0.07,Inaccuracy,114,Good,h3,King's Indian Defense,knight_development; knight_development,board_images/board_216.png,,,
rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 4,Nf6,6,8,Black,-0.13,-0.14,0.01,Excellent,57,Excellent,Nf6,King's Pawn Game,knight_development; knight_development,board_images/board_217.png,,,
rn1qkb1r/ppp2ppp/4pn2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,5,9,White,0.41,0.33,0.08,Inaccuracy,83,Good,Nh4,Queen's Gambit,bishop_development; bishop_development,board_images/board_218.png,0.33,1.16,0.83
rnbqkbnr/pp2pppp/8/2Pp4/5B2/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,Nc6,5,6,Black,-0.04,0.09,-0.13,Mistake,9,Good,e6,Queen's Pawn Game,knight_development; knight_development,board_images/board_219.png,,,
rnbqk2r/pppp1p2/4pn1p/6p1/1bPP3B/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6,Bg3,5,11,White,0.22,0.2,0.02,Excellent,33,Excellent,Bg3,Queen's Pawn Game,bishop_development,board_images/board_220.png,,,
rnbqkb1r/pppp1ppp/5n2/8/3QP3/5N2/PPP2PPP/RNB1KB1R b KQkq - 0 4,Nc6,5,8,Black,-0.23,-0.21,-0.02,Good,32,Excellent,Nc6,Petroff Defense,knight_development; knight_development,board_images/board_221.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,Nc6,5,6,Black,-0.14,-0.14,0.0,Best,30,Excellent,Nc6,Petroff Defense,knight_development; knight_development,board_images/board_222.png,,,
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,5,11,White,0.23,0.27,-0.04,Good,59,Good,cxd5,Queen's Gambit,general,board_images/board_223.png,0.27,0.86,0.59
rnbqkbnr/pp2pppp/8/2pp4/3P4/2P1P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Nc6,5,6,Black,0.02,0.16,-0.14,Mistake,-20,Inaccuracy,e6,Queen's Pawn Game,knight_development; knight_development,board_images/board_224.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P1P2/2P1P3/PP4PP/RNBQKBNR b KQkq - 0 4,Nf6,5,8,Black,-0.34,-0.35,0.01,Excellent,80,Good,Bf5,Queen's Pawn Game,knight_development; knight_development,board_images/board_225.png,,,
rnbqk2r/ppp2p2/4pn1p/3p2p1/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,Bg3,5,13,White,0.32,0.34,-0.02,Good,82,Excellent,Bg3,Queen's Pawn Game,bishop_development,board_images/board_226.png,,,
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Nf6,5,6,Black,0.1,0.11,-0.01,Excellent,-17,Excellent,Nf6,Queen's Gambit,knight_development; knight_development,board_images/board_227.png,,,
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e5,5,2,Black,-0.3,-0.3,0.0,Best,49,Excellent,e5,Unknown,pawn_push; central_control,board_images/board_228.png,,,
rn1qkbnr/p1p1pppp/8/1b6/2pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 6,Nc3,5,11,White,1.85,2.07,-0.22,Blunder,416,Excellent,Nc3,Queen's Gambit,knight_development; knight_development,board_images/board_229.png,2.07,6.23,4.16
r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,exd4,5,8,Black,0.06,0.15,-0.09,Inaccuracy,-6,Excellent,exd4,Petroff Defense,pawn_capture; capture,board_images/board_230.png,0.15,0.09,0.06
rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,5,5,White,0.58,0.49,0.09,Inaccuracy,143,Good,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_231.png,,,
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,e4,5,7,White,0.62,0.52,0.1,Inaccuracy,99,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_232.png,0.52,1.51,0.99
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,5,9,White,0.32,0.24,0.08,Inaccuracy,64,Good,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_233.png,,,
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,5,7,White,0.57,0.47,0.1,Inaccuracy,115,Good,h3,King's Indian Defense,knight_development; knight_development,board_images/board_234.png,,,
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4,5,9,White,0.27,0.28,-0.01,Excellent,67,Excellent,exd4,Queen's Gambit,pawn_capture; capture,board_images/board_235.png,,,
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 2 5,Bg4,5,10,Black,0.05,0.19,-0.14,Mistake,-1,Inaccuracy,Nh5,Queen's Pawn Game,bishop_development,board_images/board_236.png,0.19,0.18,0.01
r2qkb1r/pp3ppp/2n1pn2/2pp4/3P1Bb1/2P1PN2/PP1NBPPP/R2QK2R b KQkq - 1 7,Bd6,5,14,Black,0.11,0.04,0.07,Inaccuracy,-10,Good,cxd4,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_237.png,0.04,-0.06,0.10
r2qkb1r/pp1n1ppp/2p1pn2/3p1bB1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bd3,5,13,White,0.09,0.17,-0.08,Inaccuracy,20,Inaccuracy,Nh4,Queen's Gambit,bishop_development; bishop_development,board_images/board_238.png,0.17,0.37,0.20
r1bqkb1r/ppp2ppp/2n5/3pp3/4N3/3B1N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,dxe4,5,12,Black,-0.04,-0.03,-0.01,Excellent,36,Excellent,dxe4,Petroff Defense,pawn_capture; capture,board_images/board_239.png,-0.03,0.33,0.36
rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,c5,5,4,Black,-0.87,1.22,-2.09,Blunder,-45,Inaccuracy,dxe4,Zukertort Opening,pawn_push; central_control; queenside_attack,board_images/board_240.png,,,
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Qxd4,5,9,White,0.27,-0.21,0.48,Blunder,17,Inaccuracy,exd4,Queen's Gambit,tactical; capture,board_images/board_241.png,,,
rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 7,Bh4,5,13,White,0.19,0.14,0.05,Good,44,Good,Bxf6,Queen's Gambit,bishop_development,board_images/board_242.png,0.14,0.58,0.44
r1bqk2r/pppp1ppp/2n2n2/2b5/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 2 6,d6,5,12,Black,0.46,2.59,-2.13,Blunder,-310,Inaccuracy,Bb6,Petroff Defense,general,board_images/board_243.png,2.59,-0.51,3.10
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N4P/PP2BPP1/R1BQK1NR w KQ - 0 7,dxe5,5,13,White,0.66,0.01,0.65,Blunder,82,Good,d5,King's Indian Defense,pawn_capture; capture,board_images/board_244.png,0.01,0.83,0.82
rnbq1rk1/ppp2pp1/4pn1p/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 7,Bh4,5,13,White,0.27,0.22,0.05,Inaccuracy,65,Good,Bxf6,Queen's Pawn Game,bishop_development,board_images/board_245.png,0.22,0.87,0.65
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,5,9,White,0.25,0.11,0.14,Mistake,46,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_246.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq - 3 4,Be7,5,8,Black,0.12,0.27,-0.15,Mistake,-47,Good,dxc4,Queen's Gambit,bishop_development; bishop_development,board_images/board_247.png,,,
rn1qk2r/pp2nppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,e3,5,13,White,0.16,0.16,0.0,Best,42,Excellent,e3,Queen's Gambit,general,board_images/board_248.png,0.16,0.58,0.42
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,5,7,White,0.52,0.31,0.21,Blunder,84,Inaccuracy,Bd2,Dutch Defense,knight_development; knight_development,board_images/board_249.png,,,
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,5,11,White,0.43,0.46,-0.03,Good,105,Excellent,e3,Queen's Gambit,general,board_images/board_250.png,0.46,1.51,1.05
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,5,11,White,0.37,0.16,0.21,Blunder,63,Good,dxc5,Queen's Gambit,general,board_images/board_251.png,,,
rnbqkbnr/ppp2ppp/8/3P4/3p4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,Qxd5,5,8,Black,-0.15,-0.06,-0.09,Inaccuracy,40,Good,Nf6,King's Pawn Game,capture,board_images/board_252.png,,,
rnbqkbnr/pp2pppp/2pp4/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,5,5,White,0.81,0.77,0.04,Good,144,Good,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_253.png,,,
rnbqkbnr/pp1p1ppp/2p1p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,5,5,White,0.6,0.6,0.0,Best,109,Good,Nd2,Queen's Pawn Game,knight_development; knight_development,board_images/board_254.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4N3/3PP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nxe5,5,8,Black,0.85,1.23,-0.38,Blunder,-189,Good,Qe7,Petroff Defense,capture,board_images/board_255.png,1.23,-0.66,1.89
r1bqkb1r/pppp1ppp/5n2/4P3/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,Nxe4,5,10,Black,1.02,1.35,-0.33,Blunder,-219,Excellent,Nxe4,Petroff Defense,tactical; capture,board_images/board_256.png,1.35,-0.84,2.19
rnbqkbnr/ppp1pp1p/3p2p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,5,5,White,0.51,0.56,-0.05,Inaccuracy,106,Good,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_257.png,,,
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,Nc6,5,6,Black,-0.23,-0.17,-0.06,Inaccuracy,44,Excellent,Nc6,King's Pawn Game,knight_development; knight_development,board_images/board_258.png,,,
rnbq1rk1/pppp1pp1/4pn1p/6B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 0 6,Bh4,5,11,White,0.22,0.19,0.03,Good,40,Excellent,Bh4,Queen's Pawn Game,bishop_development,board_images/board_259.png,0.19,0.59,0.40
r1b1k2r/ppp2ppp/2p5/2b5/2B1P2q/2N2Q1P/PPPP1nP1/R1B2RK1 b kq - 1 9,Nxh3+,5,18,Black,-99.87,-99.88,0.01,Excellent,19978,Excellent,Nxh3+,Petroff Defense,capture; check,board_images/board_260.png,-99.88,99.90,199.78
rn1qkbnr/ppp1pppp/8/5b2/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,5,7,White,1.41,1.54,-0.13,Mistake,263,Excellent,e4,Queen's Gambit,pawn_push; central_control,board_images/board_261.png,1.54,4.17,2.63
rn1qkbnr/ppp1pppp/6b1/8/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Bxc4,5,9,White,1.45,1.5,-0.05,Inaccuracy,273,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_262.png,1.50,4.23,2.73
rnbqkb1r/pppp1ppp/5n2/8/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Qxd4,5,7,White,-0.14,-0.15,0.01,Excellent,-26,Excellent,Qxd4,Budapest Gambit,tactical; capture,board_images/board_263.png,,,
r1bqkb1r/pppp1ppp/2n2n2/8/2PQ4/2N5/PP2PPPP/R1B1KBNR w KQkq - 1 5,Qd1,5,9,White,-0.12,-0.1,-0.02,Excellent,-34,Excellent,Qd1,Budapest Gambit,general,board_images/board_264.png,-0.10,-0.44,0.34
rnbqkb1r/pppp1ppp/5n2/4P3/3p4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nd5,5,8,Black,0.52,1.44,-0.92,Blunder,-200,Inaccuracy,Ne4,Petroff Defense,knight_development,board_images/board_265.png,,,
rnbqkbnr/ppp2ppp/8/3pp3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,dxe4,5,6,Black,-0.23,-0.1,-0.13,Mistake,52,Good,exf4,King's Pawn Game,pawn_capture; capture,board_images/board_266.png,,,
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 6,Nc6,5,12,Black,0.16,0.47,-0.31,Blunder,-53,Inaccuracy,cxd4,Queen's Gambit,knight_development; knight_development,board_images/board_267.png,,,
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Bc5,5,8,Black,0.2,0.44,-0.24,Blunder,-48,Good,Bb4,King's Pawn Game,bishop_development,board_images/board_268.png,0.44,-0.04,0.48
rnbqk2r/ppp1bppp/4pB2/3p4/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 5,Bxf6,5,10,Black,-0.15,-0.17,0.02,Good,46,Excellent,Bxf6,Queen's Gambit,capture,board_images/board_269.png,,,
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,5,9,White,0.52,0.58,-0.06,Inaccuracy,107,Excellent,e4,King's Indian Defense,pawn_push; central_control,board_images/board_270.png,,,
rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 4,Nxd5,5,8,Black,0.29,0.27,0.02,Excellent,-74,Good,exd5,Queen's Gambit,capture,board_images/board_271.png,,,
rnbqkb1r/ppp2ppp/4p3/3n4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 5,Nxc3,5,10,Black,0.24,0.38,-0.14,Mistake,-58,Excellent,Nxc3,Queen's Gambit,capture,board_images/board_272.png,,,
r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 5,Nxd5,5,10,Black,0.15,0.59,-0.44,Blunder,-95,Inaccuracy,Na5,Petroff Defense,capture,board_images/board_273.png,0.59,-0.36,0.95
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,e4,5,7,White,0.5,0.61,-0.11,Mistake,108,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_274.png,,,
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,c5,5,4,Black,0.28,0.38,-0.1,Inaccuracy,-48,Inaccuracy,e6,Zukertort Opening,pawn_push; central_control; queenside_attack,board_images/board_275.png,,,
rn1qkbnr/ppp1pppp/8/5b2/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 1 4,Bxc4,4,7,White,0.65,0.65,0.0,Best,133,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_276.png,0.65,1.98,1.33
rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e4,4,5,White,1.39,1.85,-0.46,Blunder,313,Good,Bf4,Queen's Pawn Game,pawn_push; central_control,board_images/board_277.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,d5,4,8,Black,-0.31,1.19,-1.5,Blunder,-86,Inaccuracy,Nxe4,Petroff Defense,pawn_push; central_control,board_images/board_278.png,1.19,0.33,0.86
rnbqkbnr/pppp1ppp/8/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nf6,4,4,Black,-0.32,-0.15,-0.17,Mistake,34,Good,d5,King's Pawn Game,knight_development; knight_development,board_images/board_279.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,exd4,4,8,Black,-0.06,0.0,-0.06,Inaccuracy,12,Good,Nxe4,Petroff Defense,pawn_capture; capture,board_images/board_280.png,0.00,0.12,0.12
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,Nc6,4,6,Black,-0.15,-0.12,-0.03,Good,19,Excellent,Nc6,King's Pawn Game,knight_development; knight_development,board_images/board_281.png,,,
rnbqk2r/ppp2p2/4p2p/3p2p1/1bPPn3/2N2NB1/PP2PPPP/R2QKB1R w KQkq - 2 8,Qc2,4,15,White,0.29,0.41,-0.12,Mistake,71,Good,a3,Queen's Pawn Game,general,board_images/board_282.png,,,
rnbqkbnr/ppp1pppp/8/3p4/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 2,c5,4,4,Black,0.04,0.1,-0.06,Inaccuracy,-14,Excellent,c5,Irregular Opening,pawn_push; central_control; queenside_attack,board_images/board_283.png,,,
r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQ - 3 8,O-O,4,15,White,0.28,0.38,-0.1,Inaccuracy,62,Good,a4,Queen's Pawn Game,castle; castle,board_images/board_284.png,0.38,1.00,0.62
rnbqkbnr/pp2pppp/8/2Pp4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,Nc6,4,6,Black,0.3,0.59,-0.29,Blunder,-68,Good,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_285.png,,,
rnbqk2r/pp2bppp/4pn2/3p2B1/2PN4/2N5/PP2PPPP/R2QKB1R w KQkq - 1 7,e3,4,13,White,0.29,0.2,0.09,Inaccuracy,45,Good,cxd5,Queen's Gambit,general,board_images/board_286.png,,,
rnbqkbnr/pp2pppp/8/2pP4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,Qxd5,4,6,Black,1.13,1.27,-0.14,Mistake,-253,Good,Nf6,Zukertort Opening,capture,board_images/board_287.png,,,
r1bqkbnr/pp3ppp/2n1p3/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,4,9,White,0.27,0.08,0.19,Mistake,77,Inaccuracy,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_288.png,,,
rnbq1rk1/p1p1bpp1/1p2pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 8,Bd3,4,15,White,0.2,0.06,0.14,Mistake,17,Inaccuracy,g4,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_289.png,0.06,0.23,0.17
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 2 4,Bc5,4,8,Black,0.32,0.15,0.17,Mistake,-34,Excellent,Bc5,King's Pawn Game,bishop_development,board_images/board_290.png,0.15,-0.19,0.34
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,dxe4,4,4,Black,-0.46,-0.52,0.06,Inaccuracy,109,Excellent,dxe4,Queen's Pawn Game,pawn_capture; capture,board_images/board_291.png,,,
rnbqk2r/ppp2ppp/4pn2/3p2B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,Nf3,4,9,White,0.38,0.24,0.14,Mistake,52,Good,Qa4+,Queen's Gambit,knight_development; knight_development,board_images/board_292.png,,,
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 1 6,Nc6,4,12,Black,0.2,0.39,-0.19,Mistake,-54,Inaccuracy,cxd4,Queen's Gambit,knight_development; knight_development,board_images/board_293.png,,,
rnbqkbnr/pp2pppp/8/2Pp4/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,e6,4,6,Black,0.06,0.04,0.02,Excellent,5,Excellent,e6,Queen's Pawn Game,general,board_images/board_294.png,,,
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,c5,4,4,Black,-0.2,0.29,-0.49,Blunder,1,Good,e5,Irregular Opening,pawn_push; central_control; queenside_attack,board_images/board_295.png,,,
rnbqk2r/pp3ppp/5B2/2bp4/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 8,Qxf6,4,16,Black,0.73,0.85,-0.12,Mistake,-162,Excellent,Qxf6,Queen's Gambit,capture,board_images/board_296.png,,,
rn1qk2r/ppp1bppp/4pn2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,4,11,White,0.99,0.16,0.83,Blunder,95,Inaccuracy,Bxf6,Queen's Gambit,general,board_images/board_297.png,0.16,1.11,0.95
rnbqkbnr/pp2pppp/8/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R b KQkq - 0 3,Nc6,4,6,Black,-0.17,-0.25,0.08,Inaccuracy,36,Good,Nf6,Bird's Opening,knight_development; knight_development,board_images/board_298.png,,,
rnbq1rk1/ppp2ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 4 6,e3,4,11,White,0.31,0.33,-0.02,Good,59,Excellent,e3,Queen's Pawn Game,general,board_images/board_299.png,0.33,0.92,0.59
r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,Nf3,4,7,White,0.83,0.45,0.38,Blunder,121,Good,exd6,Queen's Pawn Game,knight_development; knight_development,board_images/board_300.png,,,
rnbqk2r/ppp2ppp/4pn2/3p2B1/2PP4/2b2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,bxc3,4,11,White,0.45,0.47,-0.02,Excellent,86,Excellent,bxc3,Queen's Gambit,capture,board_images/board_301.png,,,
rnbqk2r/ppp2pp1/4pn1p/3p2B1/2PP4/2P2N2/P3PPPP/R2QKB1R w KQkq - 0 7,Bh4,4,13,White,0.62,0.59,0.03,Good,137,Excellent,Bh4,Queen's Gambit,bishop_development,board_images/board_302.png,,,
